"Day","DailyED","IsWeekend","IsHoliday","DailyEDLag1","DailyEDLag2","TotalPriorSurgeries"
1,20,1,0,3,5,23.7142857142857
2,18,0,0,20,3,23.7142857142857
3,14,0,0,18,20,23.7142857142857
4,21,0,0,14,18,23.7142857142857
5,12,0,0,21,14,23.7142857142857
6,21,0,0,12,21,23.7142857142857
7,11,1,0,21,12,17.7142857142857
8,12,1,0,11,21,17.7142857142857
9,12,0,0,12,11,17.7142857142857
10,15,0,0,12,12,17.7142857142857
11,16,0,0,15,12,17.7142857142857
12,16,0,0,16,15,17.7142857142857
13,7,0,0,16,16,17.7142857142857
14,15,1,0,7,16,21.7142857142857
15,13,1,0,15,7,21.7142857142857
16,16,0,0,13,15,21.7142857142857
17,13,0,1,16,13,21.7142857142857
18,21,0,0,13,16,21.7142857142857
19,17,0,0,21,13,21.7142857142857
20,16,0,0,17,21,21.7142857142857
21,24,1,0,16,17,19.1428571428571
22,13,1,0,24,16,19.1428571428571
23,9,0,0,13,24,19.1428571428571
24,13,0,0,9,13,19.1428571428571
25,14,0,0,13,9,19.1428571428571
26,12,0,0,14,13,19.1428571428571
27,17,0,0,12,14,19.1428571428571
28,18,1,0,17,12,19.7142857142857
29,9,1,0,18,17,19.7142857142857
30,12,0,0,9,18,19.7142857142857
31,16,0,0,12,9,19.7142857142857
32,10,0,0,16,12,19.7142857142857
33,15,0,0,10,16,19.7142857142857
34,19,0,0,15,10,19.7142857142857
35,20,1,0,19,15,22.1428571428571
36,17,1,0,20,19,22.1428571428571
37,9,0,0,17,20,22.1428571428571
38,19,0,0,9,17,22.1428571428571
39,17,0,0,19,9,22.1428571428571
40,11,0,0,17,19,22.1428571428571
41,14,0,1,11,17,22.1428571428571
42,16,1,0,14,11,22.2857142857143
43,19,1,0,16,14,22.2857142857143
44,13,0,0,19,16,22.2857142857143
45,20,0,0,13,19,22.2857142857143
46,19,0,0,20,13,22.2857142857143
47,12,0,0,19,20,22.2857142857143
48,11,0,0,12,19,22.2857142857143
49,22,1,0,11,12,12.8571428571429
50,10,1,0,22,11,12.8571428571429
51,11,0,0,10,22,12.8571428571429
52,5,0,0,11,10,12.8571428571429
53,3,0,0,5,11,12.8571428571429
54,13,0,0,3,5,12.8571428571429
55,7,0,0,13,3,12.8571428571429
56,9,1,0,7,13,23.4285714285714
57,14,1,0,9,7,23.4285714285714
58,15,0,0,14,9,23.4285714285714
59,18,0,0,15,14,23.4285714285714
60,11,0,0,18,15,23.4285714285714
61,10,0,0,11,18,23.4285714285714
62,17,0,0,10,11,23.4285714285714
63,24,1,0,17,10,23.4285714285714
64,12,1,0,24,17,23.4285714285714
65,19,0,0,12,24,23.4285714285714
66,17,0,1,19,12,23.4285714285714
67,18,0,0,17,19,23.4285714285714
68,16,0,0,18,17,23.4285714285714
69,15,0,0,16,18,23.4285714285714
70,14,1,0,15,16,18.8571428571429
71,21,1,0,14,15,18.8571428571429
72,15,0,0,21,14,18.8571428571429
73,11,0,0,15,21,18.8571428571429
74,12,0,0,11,15,18.8571428571429
75,16,0,0,12,11,18.8571428571429
76,16,0,0,16,12,18.8571428571429
77,20,1,0,16,16,22
78,21,1,1,20,16,22
79,18,0,0,21,20,22
80,19,0,0,18,21,22
81,23,0,0,19,18,22
82,16,0,0,23,19,22
83,17,0,1,16,23,22
84,20,1,0,17,16,22.5714285714286
85,18,1,0,20,17,22.5714285714286
86,14,0,0,18,20,22.5714285714286
87,14,0,0,14,18,22.5714285714286
88,11,0,0,14,14,22.5714285714286
89,14,0,0,11,14,22.5714285714286
90,16,0,0,14,11,22.5714285714286
91,18,1,0,16,14,27.4285714285714
92,19,1,0,18,16,27.4285714285714
93,24,0,0,19,18,27.4285714285714
94,10,0,0,24,19,27.4285714285714
95,9,0,0,10,24,27.4285714285714
96,25,0,0,9,10,27.4285714285714
97,18,0,0,25,9,27.4285714285714
98,12,1,0,18,25,20.5714285714286
99,18,1,0,12,18,20.5714285714286
100,8,0,0,18,12,20.5714285714286
101,10,0,0,8,18,20.5714285714286
102,16,0,0,10,8,20.5714285714286
103,10,0,1,16,10,20.5714285714286
104,13,0,0,10,16,20.5714285714286
105,15,1,0,13,10,23.7142857142857
106,17,1,0,15,13,23.7142857142857
107,19,0,0,17,15,23.7142857142857
108,12,0,0,19,17,23.7142857142857
109,16,0,0,12,19,23.7142857142857
110,19,0,0,16,12,23.7142857142857
111,23,0,0,19,16,23.7142857142857
112,13,1,0,23,19,14.8571428571429
113,9,1,0,13,23,14.8571428571429
114,6,0,0,9,13,14.8571428571429
115,16,0,0,6,9,14.8571428571429
116,14,0,0,16,6,14.8571428571429
117,19,0,0,14,16,14.8571428571429
118,7,0,0,19,14,14.8571428571429
119,12,1,0,7,19,21
120,14,1,0,12,7,21
121,8,0,0,14,12,21
122,11,0,0,8,14,21
123,13,0,0,11,8,21
124,14,0,0,13,11,21
125,10,0,0,14,13,21
126,10,1,0,10,14,18.2857142857143
127,18,1,0,10,10,18.2857142857143
128,12,0,0,18,10,18.2857142857143
129,19,0,1,12,18,18.2857142857143
130,17,0,0,19,12,18.2857142857143
131,14,0,0,17,19,18.2857142857143
132,17,0,0,14,17,18.2857142857143
133,14,1,0,17,14,20.7142857142857
134,15,1,0,14,17,20.7142857142857
135,17,0,0,15,14,20.7142857142857
136,7,0,0,17,15,20.7142857142857
137,14,0,0,7,17,20.7142857142857
138,14,0,0,14,7,20.7142857142857
139,21,0,0,14,14,20.7142857142857
140,14,1,0,21,14,20.1428571428571
141,18,1,0,14,21,20.1428571428571
142,22,0,0,18,14,20.1428571428571
143,10,0,0,22,18,20.1428571428571
144,19,0,0,10,22,20.1428571428571
145,16,0,0,19,10,20.1428571428571
146,22,0,0,16,19,20.1428571428571
147,19,1,0,22,16,22.2857142857143
148,17,1,0,19,22,22.2857142857143
149,16,0,0,17,19,22.2857142857143
150,20,0,1,16,17,22.2857142857143
151,11,0,0,20,16,22.2857142857143
152,21,0,0,11,20,22.2857142857143
153,15,0,0,21,11,22.2857142857143
154,16,1,0,15,21,23.1428571428571
155,19,1,0,16,15,23.1428571428571
156,20,0,1,19,16,23.1428571428571
157,13,0,0,20,19,23.1428571428571
158,17,0,0,13,20,23.1428571428571
159,14,0,0,17,13,23.1428571428571
160,15,0,0,14,17,23.1428571428571
161,12,1,0,15,14,15.5714285714286
162,13,1,0,12,15,15.5714285714286
163,10,0,0,13,12,15.5714285714286
164,14,0,0,10,13,15.5714285714286
165,18,0,0,14,10,15.5714285714286
166,10,0,0,18,14,15.5714285714286
167,11,0,0,10,18,15.5714285714286
168,13,1,0,11,10,18.4285714285714
169,8,1,1,13,11,18.4285714285714
170,16,0,0,8,13,18.4285714285714
171,16,0,0,16,8,18.4285714285714
172,12,0,0,16,16,18.4285714285714
173,10,0,0,12,16,18.4285714285714
174,27,0,0,10,12,18.4285714285714
175,16,1,0,27,10,24.1428571428571
176,21,1,0,16,27,24.1428571428571
177,9,0,0,21,16,24.1428571428571
178,19,0,0,9,21,24.1428571428571
179,24,0,0,19,9,24.1428571428571
180,15,0,0,24,19,24.1428571428571
181,12,0,0,15,24,24.1428571428571
182,9,1,0,12,15,21.4285714285714
183,11,1,0,9,12,21.4285714285714
184,14,0,0,11,9,21.4285714285714
185,10,0,0,14,11,21.4285714285714
186,8,0,0,10,14,21.4285714285714
187,16,0,0,8,10,21.4285714285714
188,7,0,0,16,8,21.4285714285714
189,12,1,0,7,16,17.2857142857143
190,10,1,0,12,7,17.2857142857143
191,14,0,0,10,12,17.2857142857143
192,18,0,0,14,10,17.2857142857143
193,15,0,0,18,14,17.2857142857143
194,13,0,0,15,18,17.2857142857143
195,19,0,0,13,15,17.2857142857143
196,11,1,0,19,13,24.8571428571429
197,25,1,1,11,19,24.8571428571429
198,13,0,0,25,11,24.8571428571429
199,9,0,0,13,25,24.8571428571429
200,14,0,0,9,13,24.8571428571429
201,18,0,0,14,9,24.8571428571429
202,13,0,0,18,14,24.8571428571429
203,13,1,1,13,18,17.8571428571429
204,13,1,0,13,13,17.8571428571429
205,14,0,0,13,13,17.8571428571429
206,18,0,0,14,13,17.8571428571429
207,15,0,0,18,14,17.8571428571429
208,16,0,0,15,18,17.8571428571429
209,9,0,0,16,15,17.8571428571429
210,17,1,0,9,16,21.2857142857143
211,10,1,0,17,9,21.2857142857143
212,25,0,0,10,17,21.2857142857143
213,18,0,0,25,10,21.2857142857143
214,10,0,0,18,25,21.2857142857143
215,11,0,0,10,18,21.2857142857143
216,16,0,0,11,10,21.2857142857143
217,17,1,0,16,11,19.4285714285714
218,16,1,0,17,16,19.4285714285714
219,14,0,0,16,17,19.4285714285714
220,11,0,0,14,16,19.4285714285714
221,18,0,0,11,14,19.4285714285714
222,17,0,0,18,11,19.4285714285714
223,11,0,0,17,18,19.4285714285714
224,14,1,0,11,17,18.4285714285714
225,10,1,0,14,11,18.4285714285714
226,17,0,0,10,14,18.4285714285714
227,11,0,0,17,10,18.4285714285714
228,12,0,0,11,17,18.4285714285714
229,18,0,0,12,11,18.4285714285714
230,15,0,0,18,12,18.4285714285714
231,14,1,0,15,18,20.1428571428571
232,18,1,0,14,15,20.1428571428571
233,11,0,0,18,14,20.1428571428571
234,12,0,0,11,18,20.1428571428571
235,13,0,0,12,11,20.1428571428571
236,13,0,0,13,12,20.1428571428571
237,13,0,0,13,13,20.1428571428571
238,19,1,0,13,13,19.1428571428571
239,13,1,0,19,13,19.1428571428571
240,9,0,0,13,19,19.1428571428571
241,18,0,0,9,13,19.1428571428571
242,19,0,0,18,9,19.1428571428571
243,12,0,0,19,18,19.1428571428571
244,18,0,0,12,19,19.1428571428571
245,15,1,0,18,12,17
246,13,1,0,15,18,17
247,10,0,0,13,15,17
248,14,0,0,10,13,17
249,15,0,0,14,10,17
250,15,0,0,15,14,17
251,10,0,0,15,15,17
252,15,1,0,10,15,17.4285714285714
253,12,1,0,15,10,17.4285714285714
254,9,0,0,12,15,17.4285714285714
255,13,0,0,9,12,17.4285714285714
256,13,0,0,13,9,17.4285714285714
257,12,0,0,13,13,17.4285714285714
258,12,0,0,12,13,17.4285714285714
259,13,1,0,12,12,18.8571428571429
260,13,1,0,13,12,18.8571428571429
261,15,0,0,13,13,18.8571428571429
262,12,0,0,15,13,18.8571428571429
263,22,0,0,12,15,18.8571428571429
264,10,0,0,22,12,18.8571428571429
265,8,0,0,10,22,18.8571428571429
266,20,1,0,8,10,22.5714285714286
267,11,1,0,20,8,22.5714285714286
268,26,0,1,11,20,22.5714285714286
269,11,0,0,26,11,22.5714285714286
270,18,0,0,11,26,22.5714285714286
271,14,0,0,18,11,22.5714285714286
272,16,0,1,14,18,22.5714285714286
273,22,1,0,16,14,30.4285714285714
274,23,1,0,22,16,30.4285714285714
275,24,0,0,23,22,30.4285714285714
276,14,0,0,24,23,30.4285714285714
277,21,0,1,14,24,30.4285714285714
278,21,0,0,21,14,30.4285714285714
279,13,0,0,21,21,30.4285714285714
280,14,1,0,13,21,17.1428571428571
281,12,1,0,14,13,17.1428571428571
282,15,0,0,12,14,17.1428571428571
283,15,0,0,15,12,17.1428571428571
284,16,0,0,15,15,17.1428571428571
285,14,0,0,16,15,17.1428571428571
286,13,0,0,14,16,17.1428571428571
287,16,1,0,13,14,17.1428571428571
288,10,1,0,16,13,17.1428571428571
289,10,0,0,10,16,17.1428571428571
290,10,0,0,10,10,17.1428571428571
291,8,0,0,10,10,17.1428571428571
292,7,0,0,8,10,17.1428571428571
293,14,0,0,7,8,17.1428571428571
294,16,1,0,14,7,20.7142857142857
295,12,1,0,16,14,20.7142857142857
296,13,0,0,12,16,20.7142857142857
297,15,0,0,13,12,20.7142857142857
298,10,0,0,15,13,20.7142857142857
299,16,0,0,10,15,20.7142857142857
300,20,0,0,16,10,20.7142857142857
