"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Alex Abrines","SG","OKC",127,30,157,13,5,43,20,17,6,14,53,5455236
"Quincy Acy","PF","PHO",15,3,18,10,3,22,8,1,4,4,24,213949
"Jaylen Adams","PG","ATL",74,36,110,9,11,49,65,14,5,28,45,236854
"Steven Adams","C","OKC",2,807,809,292,391,369,124,117,76,135,204,24157304
"Bam Adebayo","C","MIA",15,471,486,226,165,432,184,71,65,121,203,2955840
"Deng Adel","SF","CLE",23,13,36,4,3,16,5,1,4,6,13,3206640
"DeVaughn Akoon-Purcell","SG","DEN",4,6,10,2,1,3,6,2,0,2,4,3206640
"LaMarcus Aldridge","C","SAS",42,1277,1319,412,251,493,194,43,107,144,179,22347015
"Rawle Alkins","SG","CHI",12,27,39,12,11,15,13,1,0,8,7,3206640
"Grayson Allen","SG","UTA",99,79,178,60,3,20,25,6,6,33,47,2074320
"Jarrett Allen","C","BRK",45,523,568,278,191,481,110,43,120,103,184,2034120
"Kadeem Allen","SG","NYK",36,105,141,54,8,43,76,16,4,26,46,3206640
"Al-Farouq Aminu","PF","POR",280,313,593,173,112,498,104,68,33,72,143,6957105
"Justin Anderson","SF","ATL",77,80,157,35,24,60,23,22,13,23,48,2516048
"Kyle Anderson","SF","MEM",34,242,276,64,48,203,128,54,37,58,112,8641000
"Ryan Anderson","PF","TOT",40,29,69,16,18,36,19,4,1,14,25,20421546
"Ike Anigbogu","C","IND",0,3,3,0,1,2,1,0,1,1,0,1378242
"Giannis Antetokounmpo","PF","MIL",203,1044,1247,686,159,739,424,92,110,268,232,24157304
"Kostas Antetokounmpo","PF","DAL",0,3,3,4,0,1,0,2,0,1,0,3206640
"Carmelo Anthony","PF","HOU",64,57,121,22,9,45,5,4,7,8,32,25534253
"OG Anunoby","SF","TOR",202,202,404,62,58,139,47,46,22,55,140,1952760
"Ryan Arcidiacono","PG","CHI",217,201,418,102,27,192,269,65,4,63,171,1349383
"Trevor Ariza","SF","TOT",434,302,736,164,50,321,252,91,21,106,130,1.5e+07
"D.J. Augustin","PG","ORL",311,366,677,209,41,162,426,52,4,128,115,7250000
"Deandre Ayton","C","PHO",4,866,870,189,223,506,125,61,67,126,209,8165160
"Dwayne Bacon","SG","CHO",87,170,257,46,8,81,47,12,5,18,72,1378242
"Marvin Bagley","PF","SAC",96,610,706,262,162,309,62,33,59,98,120,7305600
"Ron Baker","SG","TOT",13,7,20,6,1,10,15,6,1,5,18,4544400
"Wade Baldwin","PG","POR",9,24,33,11,2,13,12,1,2,14,11,1544951
"Lonzo Ball","PG","LAL",228,228,456,48,54,197,255,69,19,103,114,7461960
"Mohamed Bamba","C","ORL",70,173,243,63,64,169,39,13,64,43,102,4865040
"J.J. Barea","PG","DAL",128,257,385,78,13,82,211,22,1,72,50,3710850
"Will Barton","SG","DEN",196,264,460,74,32,167,124,18,22,65,82,11830358
"Keita Bates-Diop","SF","MIN",52,90,142,28,16,67,17,18,14,14,29,838464
"Nicolas Batum","SF","CHO",298,264,562,89,71,319,247,71,43,117,140,2.4e+07
