"Team","Year","G","X3P","X3PA","X2P","X2PA","FG","FGA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Playoffs"
"Denver Nuggets",2013,82,521,1518,2818,5465,3339,6983,1505,2148,1092,2601,2002,762,533,1253,1682,8704,1
"Houston Rockets",2013,82,867,2369,2257,4413,3124,6782,1573,2087,909,2652,1902,679,359,1348,1662,8688,1
"Oklahoma City Thunder",2013,82,598,1588,2528,4916,3126,6504,1819,2196,854,2725,1753,679,624,1253,1654,8669,1
"San Antonio Spurs",2013,82,663,1764,2547,4911,3210,6675,1365,1725,666,2721,2058,695,446,1206,1427,8448,1
"Miami Heat",2013,82,717,1809,2431,4539,3148,6348,1423,1887,676,2490,1890,710,441,1143,1533,8436,1
"Los Angeles Lakers",2013,82,715,2015,2326,4625,3041,6640,1584,2289,942,2732,1818,576,429,1232,1467,8381,1
"Golden State Warriors",2013,82,658,1632,2472,5208,3130,6840,1378,1744,885,2801,1845,567,346,1236,1753,8296,1
"Dallas Mavericks",2013,82,606,1628,2576,5264,3182,6892,1323,1669,767,2670,1906,648,454,1144,1698,8293,0
"Los Angeles Clippers",2013,82,627,1752,2533,4856,3160,6608,1342,1888,938,2475,1958,784,461,1197,1716,8289,1
"Sacramento Kings",2013,82,610,1681,2476,5223,3086,6904,1437,1869,943,2385,1708,671,342,1199,1717,8219,0
"New York Knicks",2013,82,891,2371,2105,4318,2996,6689,1313,1729,890,2436,1579,672,294,988,1650,8196,1
"Milwaukee Bucks",2013,82,601,1670,2527,5527,3128,7197,1251,1700,1068,2537,1876,685,550,1156,1554,8108,1
"Utah Jazz",2013,82,507,1385,2539,5325,3046,6710,1439,1883,989,2457,1859,690,515,1210,1750,8038,0
"Atlanta Hawks",2013,82,706,1901,2378,4743,3084,6644,1158,1619,758,2593,2007,664,369,1219,1473,8032,1
"Portland Trail Blazers",2013,82,673,1904,2336,4811,3009,6715,1304,1680,874,2474,1784,538,353,1203,1518,7995,0
"Toronto Raptors",2013,82,571,1665,2408,5020,2979,6685,1442,1831,871,2426,1765,595,392,1124,1836,7971,0
"Brooklyn Nets",2013,82,628,1760,2314,4784,2942,6544,1432,1958,1047,2460,1668,599,391,1206,1500,7944,1
"Cleveland Cavaliers",2013,82,547,1581,2446,5320,2993,6901,1380,1826,1004,2359,1694,647,334,1149,1737,7913,0
"Minnesota Timberwolves",2013,82,450,1475,2493,5227,2943,6702,1515,2042,973,2473,1836,700,387,1214,1509,7851,0
"Boston Celtics",2013,81,498,1390,2503,5069,3001,6459,1318,1698,654,2533,1843,667,365,1181,1717,7818,1
"Phoenix Suns",2013,82,480,1455,2581,5462,3061,6917,1203,1618,959,2454,1855,659,434,1278,1688,7805,0
"Detroit Pistons",2013,82,513,1440,2466,5198,2979,6638,1307,1870,991,2463,1742,574,400,1241,1623,7778,0
"Orlando Magic",2013,82,506,1537,2587,5367,3093,6904,1026,1359,890,2612,1871,528,358,1191,1591,7718,0
"New Orleans Hornets",2013,82,535,1474,2420,5115,2955,6589,1269,1636,988,2426,1721,520,440,1193,1673,7714,0
"Indiana Pacers",2013,81,555,1599,2290,4926,2845,6525,1429,1915,1043,2671,1645,580,513,1227,1623,7674,1
"Charlotte Bobcats",2013,82,469,1399,2354,5250,2823,6649,1546,2060,917,2389,1587,591,479,1153,1561,7661,0
"Memphis Grizzlies",2013,82,382,1107,2582,5572,2964,6679,1349,1746,1059,2445,1715,703,436,1144,1660,7659,1
"Washington Wizards",2013,82,545,1495,2365,5198,2910,6693,1279,1746,887,2652,1775,598,376,1238,1681,7644,0
"Chicago Bulls",2013,82,446,1265,2480,5433,2926,6698,1343,1738,1026,2514,1886,588,417,1171,1617,7641,1
"Philadelphia 76ers",2013,82,518,1438,2541,5457,3059,6895,1004,1377,896,2493,1867,609,384,1070,1505,7640,0
"Los Angeles Clippers",2014,82,693,1966,2515,4795,3208,6761,1741,2384,858,2668,2016,703,397,1136,1767,8850,1
"Houston Rockets",2014,82,779,2179,2339,4424,3118,6603,1814,2549,920,2797,1755,621,461,1323,1676,8829,1
"Minnesota Timberwolves",2014,82,600,1757,2589,5418,3189,7175,1790,2301,1024,2644,1963,718,297,1142,1504,8768,0
"Portland Trail Blazers",2014,82,770,2071,2437,5063,3207,7134,1569,1926,1022,2786,1904,454,387,1125,1576,8753,1
"Oklahoma City Thunder",2014,82,664,1839,2530,4943,3194,6782,1653,2052,887,2781,1794,678,501,1256,1858,8705,1
"San Antonio Spurs",2014,82,698,1757,2628,5087,3326,6844,1289,1642,762,2786,2064,604,420,1180,1495,8639,1
"Phoenix Suns",2014,82,765,2055,2407,4790,3172,6845,1520,2004,928,2601,1563,688,374,1258,1798,8629,0
"Dallas Mavericks",2014,82,721,1877,2528,4981,3249,6858,1378,1733,840,2514,1935,704,356,1110,1636,8597,1
"Denver Nuggets",2014,82,702,1959,2445,5083,3147,7042,1563,2154,1009,2717,1838,615,459,1305,1890,8559,0
"Golden State Warriors",2014,82,774,2037,2462,4968,3236,7005,1303,1731,896,2819,1912,642,407,1247,1784,8549,1
"Los Angeles Lakers",2014,82,774,2032,2365,4948,3139,6980,1390,1835,745,2620,2006,611,446,1239,1627,8442,0
"Miami Heat",2014,82,665,1829,2477,4443,3142,6272,1431,1884,627,2397,1847,732,367,1212,1596,8380,1
"Toronto Raptors",2014,82,713,1917,2279,4801,2992,6718,1608,2055,935,2552,1737,577,343,1159,1882,8305,1
"Detroit Pistons",2014,82,507,1580,2675,5544,3182,7124,1415,2111,1196,2525,1714,687,395,1193,1666,8286,0
"Atlanta Hawks",2014,82,768,2116,2293,4572,3061,6688,1392,1782,713,2565,2041,680,326,1251,1577,8282,1
"Washington Wizards",2014,82,647,1704,2530,5216,3177,6920,1253,1715,886,2573,1909,668,377,1204,1675,8254,1
"Sacramento Kings",2014,82,491,1475,2535,5291,3026,6766,1698,2237,990,2656,1547,587,318,1249,1849,8241,0
"New Orleans Pelicans",2014,82,486,1303,2615,5458,3101,6761,1489,1936,933,2486,1745,647,523,1129,1857,8177,0
"Philadelphia 76ers",2014,82,577,1847,2531,5303,3108,7150,1362,1918,949,2556,1791,765,330,1384,1844,8155,0
"New York Knicks",2014,82,759,2038,2268,4701,3027,6739,1271,1670,870,2437,1641,631,367,1063,1815,8084,0
"Brooklyn Nets",2014,82,709,1922,2222,4469,2931,6391,1508,2002,721,2407,1714,705,311,1191,1777,8079,1
"Cleveland Cavaliers",2014,82,584,1640,2452,5315,3036,6955,1398,1861,989,2629,1738,579,304,1163,1640,8054,0
"Charlotte Bobcats",2014,82,516,1471,2460,5259,2976,6730,1474,2000,776,2724,1778,499,421,1010,1493,7942,1
"Indiana Pacers",2014,82,550,1542,2399,5031,2949,6573,1485,1907,834,2831,1651,550,446,1237,1675,7933,1
"Orlando Magic",2014,82,563,1596,2459,5188,3022,6784,1307,1714,794,2654,1726,630,350,1222,1678,7914,0
"Boston Celtics",2014,82,575,1729,2421,5154,2996,6883,1325,1706,980,2505,1726,584,343,1261,1743,7892,0
"Memphis Grizzlies",2014,82,405,1147,2717,5576,3122,6723,1235,1666,950,2526,1792,631,375,1124,1568,7884,1
"Milwaukee Bucks",2014,82,548,1553,2404,5184,2952,6737,1377,1843,971,2399,1760,541,403,1238,1713,7829,0
"Utah Jazz",2014,82,543,1577,2408,5075,2951,6652,1346,1803,904,2477,1664,570,366,1200,1699,7791,0
"Chicago Bulls",2014,82,508,1459,2335,5118,2843,6577,1486,1908,937,2683,1860,594,424,1223,1565,7680,1
"Golden State Warriors",2015,82,883,2217,2527,4920,3410,7137,1313,1709,853,2814,2248,762,496,1185,1628,9016,1
"Los Angeles Clippers",2015,82,827,2202,2401,4628,3228,6830,1468,2067,784,2711,2031,640,409,1012,1749,8751,1
"Dallas Mavericks",2015,82,732,2082,2523,4954,3255,7036,1386,1843,858,2608,1846,663,371,1062,1644,8628,1
"Toronto Raptors",2015,82,726,2060,2382,4769,3108,6829,1585,2014,881,2526,1701,615,357,1057,1712,8527,1
"Oklahoma City Thunder",2015,82,632,1864,2552,5255,3184,7119,1524,2020,1052,2844,1681,598,454,1205,1829,8524,0
"Houston Rockets",2015,82,933,2680,2099,4152,3032,6832,1525,2133,958,2624,1820,777,407,1366,1803,8522,1
"San Antonio Spurs",2015,82,677,1847,2531,5007,3208,6854,1368,1754,806,2772,2000,657,444,1146,1564,8461,1
"Cleveland Cavaliers",2015,82,826,2253,2263,4486,3089,6739,1453,1934,911,2612,1814,603,340,1171,1510,8457,1
"Portland Trail Blazers",2015,82,807,2231,2368,4818,3175,7049,1272,1589,879,2881,1799,525,372,1117,1494,8429,1
"Atlanta Hawks",2015,82,818,2152,2303,4547,3121,6699,1349,1735,715,2611,2111,744,380,1167,1457,8409,1
"Phoenix Suns",2015,82,698,2048,2480,4990,3178,7038,1343,1767,896,2643,1659,700,385,1238,1744,8397,0
"Denver Nuggets",2015,82,660,2032,2439,5126,3099,7158,1462,1991,1012,2653,1788,641,367,1166,1882,8320,0
"Boston Celtics",2015,82,660,2021,2533,5190,3193,7211,1266,1678,910,2685,2009,674,294,1133,1738,8312,1
"Sacramento Kings",2015,82,461,1350,2549,5267,3010,6617,1829,2400,895,2728,1667,550,324,1333,1696,8310,0
"Chicago Bulls",2015,82,645,1825,2356,4972,3001,6797,1618,2067,959,2792,1781,514,476,1145,1495,8265,1
"New Orleans Pelicans",2015,82,586,1583,2522,5212,3108,6795,1345,1790,942,2621,1806,553,510,1087,1530,8147,1
"Washington Wizards",2015,82,497,1381,2642,5409,3139,6790,1305,1758,862,2801,1969,601,378,1233,1707,8080,1
"Detroit Pistons",2015,82,703,2043,2338,4995,3041,7038,1292,1838,1051,2630,1771,623,383,1099,1559,8077,0
"Los Angeles Lakers",2015,82,532,1546,2522,5474,3054,7020,1433,1935,952,2647,1715,578,366,1086,1741,8073,0
"Memphis Grizzlies",2015,82,423,1246,2674,5517,3097,6763,1445,1869,856,2634,1777,700,347,1094,1567,8062,1
"Brooklyn Nets",2015,82,541,1633,2528,5171,3069,6804,1359,1817,846,2627,1716,576,340,1133,1579,8038,1
"Milwaukee Bucks",2015,82,545,1500,2538,5222,3083,6722,1312,1734,876,2574,1932,789,403,1373,1814,8023,1
"Minnesota Timberwolves",2015,82,406,1223,2580,5597,2986,6820,1638,2110,949,2406,1771,668,327,1231,1571,8016,0
"Indiana Pacers",2015,82,612,1740,2386,5084,2998,6824,1373,1817,856,2822,1757,505,375,1147,1742,7981,0
"Orlando Magic",2015,82,554,1598,2522,5194,3076,6792,1141,1565,822,2607,1692,647,314,1221,1714,7847,0
"Utah Jazz",2015,82,610,1781,2290,4711,2900,6492,1391,1929,988,2617,1632,623,489,1256,1583,7801,0
"Miami Heat",2015,82,556,1659,2329,4671,2885,6330,1438,1940,747,2461,1626,642,372,1214,1636,7764,0
"Charlotte Hornets",2015,82,498,1566,2415,5366,2913,6932,1397,1867,820,2793,1654,499,448,976,1494,7721,0
"Philadelphia 76ers",2015,82,692,2160,2073,4617,2765,6777,1320,1953,978,2536,1683,789,487,1453,1778,7542,0
"New York Knicks",2015,82,560,1614,2322,5112,2882,6726,1211,1575,867,2443,1746,575,382,1206,1768,7535,0
"Golden State Warriors",2016,82,1077,2592,2412,4567,3489,7159,1366,1790,816,2972,2373,689,498,1245,1701,9421,1
"Oklahoma City Thunder",2016,82,678,1945,2694,5137,3372,7082,1616,2067,1071,2916,1883,603,487,1305,1691,9038,1
